Ваш муниципалитет;УИК;Адрес для голосования: ;Место голосования
№ 15;199;улица Руднева, дом 23, литера А;школа №103
№ 15;200;улица Руднева, дом 23, литера А;школа №103
№ 15;201;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;202;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;203;Сиреневый бульвар, дом 8, корпус 2, литера А;школа №110
№ 15;204;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;205;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;206;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;207;улица Кустодиева, дом 18, корпус 2, литера А;школа №112
№ 15;208;Сиреневый бульвар, дом 18, корпус 2, литера А;школа №83
№ 15;209;улица Руднева, дом 23, литера А;школа №103
№ 15;210;улица Руднева, дом 23, литера А;школа №103
№ 15;211;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;212;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;213;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;214;проспект Художников, дом 29, корпус 3, литера А;школа №61
№ 15;215;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;216;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;217;Поэтический бульвар, дом 15, корпус 2, литера А;школа №62
№ 15;218;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;219;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 15;220;улица Руднева, дом 5, корпус 3, литера А;школа №118
№ 21;444;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;445;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;446;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;447;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;448;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;449;улица Черкасова, дом 4, корпус 2;ГБОУ СОШ №149
№ 21;450;улица Черкасова, дом 7, корпус 2; ГБОУ СОШ №619
№ 21;451;улица Черкасова, дом 7, корпус 2; ГБОУ СОШ №619
№ 21;452;улица Черкасова, дом 15;ГБОУ СОШ №96
№ 21;453;улица Черкасова, дом 15;ГБОУ СОШ №96
№ 21;454;проспект Просвещения, дом 106, корпус 2;ГБОУ СОШ №175
№ 21;455;проспект Просвещения, дом 106, корпус 2;ГБОУ СОШ №175
№ 21;456;улица Ушинского, дом 33, корпус 2;ГБОУ СОШ №68
№ 21;457;улица Ушинского, дом 33, корпус 2;ГБОУ СОШ №68
№ 21;458;улица Ушинского, дом 35, корпус 2; ГБОУ Лицей №179
№ 21;459;улица Ушинского, дом 35, корпус 2; ГБОУ Лицей №179
№ 21;460;улица Ушинского, дом 33, корпус 2;ГБОУ СОШ №68
№ 21;461;проспект Просвещения, дом 106, корпус 2;ГБОУ СОШ №175
№ 21;462;улица Черкасова, дом 8, корпус 2;ГБОУ СОШ №89
№ 21;463;улица Ушинского, дом 13;ГБОУ СОШ №176
№ 21;464;улица Ушинского, дом 13;ГБОУ СОШ №176
№ 21;465;улица Ушинского, дом 13;ГБОУ СОШ №176
№ 21;466;улица Ушинского, дом 21;ГБОУ СОШ №72
№ 21;467;улица Ушинского, дом 21;ГБОУ СОШ №72
№ 21;468;улица Ушинского, дом 21;ГБОУ СОШ №72
№ 54;1443;Большевиков проспект, дом 28;ГОУ СОШ №591
№ 54;1444;Большевиков проспект, дом 28;ГОУ СОШ №591
№ 54;1445;Крыленко улица, дом 33, корпус 2;ГОУ СОШ №343
№ 54;1446;Крыленко улица, дом 33, корпус 2;ГОУ СОШ №343
№ 54;1447;Крыленко улица, дом 25, корпус 5;ГОУ СОШ №14
№ 54;1448;Крыленко улица, дом 25, корпус 5;ГОУ СОШ №14
№ 54;1449;Крыленко улица, дом 25, корпус 5;ГОУ СОШ №14
№ 54;1450;Тельмана улица, дом 34;ГОУ СОШ №350
№ 54;1451;Тельмана улица, дом 34;ГОУ СОШ №350
№ 54;1452;Тельмана улица, дом 34;ГОУ СОШ №350
№ 54;1453;Тельмана улица, дом 34;ГОУ СОШ №350
№ 54;1454;Тельмана улица, дом 34;ГОУ СОШ №350
№ 54;1455;Евдокима Огнева улица, дом 4, корпус 2;ГОУ СОШ №458
№ 54;1456;Евдокима Огнева улица, дом 4, корпус 2;ГОУ СОШ №458
№ 54;1457;Дыбенко улица, дом 17, корпус 3;ГОУ СОШ №13
№ 54;1458;Дыбенко улица, дом 17, корпус 3;ГОУ СОШ №13
№ 54;1459;Дыбенко улица, дом 17, корпус 3;ГОУ СОШ №13
№ 54;1460;Дыбенко улица, дом 17, корпус 3;ГОУ СОШ №13
№ 54;1461;Большевиков проспект, дом 23;ГОУ СОШ №20
№ 54;1462;Большевиков проспект, дом 23;ГОУ СОШ №20
№ 54;1463;Большевиков проспект, дом 23;ГОУ СОШ №20
№ 54;1464;Большевиков проспект, дом 23;ГОУ СОШ №20
№ 54;1465;Большевиков проспект, дом 23;ГОУ СОШ №20
№ 65;1731;Гаккелевская улица, дом 24;школа №618
№ 65;1732;Гаккелевская улица, дом 24;школа №618
№ 65;1733;Гаккелевская улица, дом 24;школа №618
№ 65;1734;Гаккелевская улица, дом 24;школа №618
№ 65;1735;Ситцевая улица, дом 15;школа №598
№ 65;1736;Ситцевая улица, дом 15;школа №598
№ 65;1737;Ситцевая улица, дом 15;школа №598
№ 65;1738;Камышовая улица, дом 18;школа №596
№ 65;1739;Камышовая улица, дом 18;школа №596
№ 65;1740;Камышовая улица, дом 18;школа №596
№ 65;1741;Камышовая улица, дом 18;школа №596
№ 65;1742;Яхтенная улица, дом 33, корпус 3;школа №661
№ 65;1743;Яхтенная улица, дом 33, корпус 3;школа №661
№ 65;1744;Богатырский проспект, дом 55, корпус 3; гимназия №49
№ 65;1745;Богатырский проспект, дом 55, корпус 3; гимназия №49
№ 65;1746;Богатырский проспект, дом 55, корпус 3; гимназия №49
№ 65;1747;Богатырский проспект, дом 55, корпус 3; гимназия №49
№ 65;1748;Богатырский проспект, дом 61, корпус 2;лицей №64
№ 65;1749;Богатырский проспект, дом 61, корпус 2;лицей №64
№ 65;1750;Богатырский проспект, дом 61, корпус 2;лицей №64
№ 65;1751;Оптиков улица, дом 47, корпус 5;школа №320
№ 65;1752;Оптиков улица, дом 47, корпус 5;школа №320
№ 65;1753;Оптиков улица, дом 47, корпус 5;школа №320
№ 65;1754;Оптиков улица, дом 47, корпус 5;школа №320
№ 65;1755;Оптиков улица, дом 47, корпус 5;школа №320
№ 65;1756;Оптиков улица, дом 46, корпус 3;гимназия №540
№ 65;1757;Оптиков улица, дом 46, корпус 3;гимназия №540
№ 65;1758;Оптиков улица, дом 46, корпус 3;гимназия №540
№ 65;1759;Лыжный переулок, дом 4, корпус 2, строение 1;Инженерно-Технологическая школа №777
№ 65;1760;Богатырский проспект, дом 50, корпус 2;школа №655
№ 65;1761;Богатырский проспект, дом 50, корпус 2;школа №655
№ 65;1762;Богатырский проспект, дом 50, корпус 2;школа №655
№ 65;1763;Лыжный переулок, дом 4, корпус 2, строение 1;Инженерно-Технологическая школа №777
№ 65;1764;Мебельная улица, дом 21, корпус 3;школа №630
№ 65;1765;Мебельная улица, дом 21, корпус 3;школа №630
№ 65;1766;Мебельная улица, дом 21, корпус 3;школа №630
№ 65;1767;Лыжный переулок, дом 4, корпус 2, строение 1;Инженерно-Технологическая школа №777
№ 65;1768;Савушкина улица, дом 111, корпус 2;школа №640
№ 65;1769;Савушкина улица, дом 111, корпус 2;школа №640
№ 65;1770;Савушкина улица, дом 111, корпус 2;школа №640
№ 65;1771;Яхтенная улица, дом 7/3;школа №599
№ 65;1772;Яхтенная улица, дом 7/3;школа №599
№ 65;1773;Яхтенная улица, дом 7/3;школа №599
№ 65;1774;Приморский проспект, дом 143, корпус 3;школа №601
№ 65;1775;Школьная улица, дом 114, корпус 3;школа №600
№ 65;1776;Школьная улица, дом 114, корпус 3;школа №600
№ 65;1777;Школьная улица, дом 114, корпус 3;школа №600
№ 65;1778;Школьная улица, дом 114, корпус 3;школа №600
№ 65;1779;Приморский проспект, дом 143, корпус 3;школа №601
№ 65;1780;Приморский проспект, дом 143, корпус 3;школа №601
№ 65;1781;Приморский проспект, дом 143, корпус 3;школа №601
№ 65;1782;Приморский проспект, дом 157, корпус 3;школа №683
№ 65;1783;Приморский проспект, дом 157, корпус 3;школа №683
№ 65;1784;Приморский проспект, дом 157, корпус 3;школа №683
№ 65;1785;Савушкина улица, дом 134, корпус 4;школа-интернат №357
№ 65;1786;Савушкина улица, дом 134, корпус 4;школа-интернат №357
№ 65;1787;Савушкина улица, дом 134, корпус 4;школа-интернат №357
№ 72;2055;Софийская улица, дом 34, корпус 3;ГБОУ СОШ №316
№ 72;2056;Софийская улица, дом 34, корпус 3;ГБОУ СОШ №316
№ 72;2057;Софийская улица, дом 34, корпус 3;ГБОУ СОШ №316
№ 72;2058;Софийская улица, дом 42, корпус 3;ГБОУ СОШ №295 (2 пл.)
№ 72;2059;Софийская улица, дом 42, корпус 3;ГБОУ СОШ №295 (2 пл.)
№ 72;2060;Южное шоссе, дом 54, литера А;"СПб ЧОУ СОШ ""Эпиграф"""""
№ 72;2061;улица Турку, дом 29, корпус 2;ГБОУ СОШ №303 (1-я пл.)
№ 72;2062;Софийская улица, дом 39, корпус 1;"ПМК ""Орленок"""
№ 72;2063;Пражская улица, дом 36, литера А;ГБОУ СОШ №303 (2-я пл.)
№ 72;2064;Пражская улица, дом 36, литера А;ГБОУ СОШ №303 (2-я пл.)
№ 72;2065;Пражская улица, дом 36, литера А;ГБОУ СОШ №303 (2-я пл.)
№ 72;2066;улица Турку, дом 30;ГБОУ гимназия №227
№ 72;2067;улица Турку, дом 30;ГБОУ гимназия №227
№ 72;2068; Софийская улица, дом 33, корпус 1;"СПб ГБУ СШ ""Лидер"""
№ 72;2069;Пражская улица, дом 30, корпус 1;ГБОУ СОШ №296
№ 72;2070;Пражская улица, дом 30, корпус 1;ГБОУ СОШ №296
№ 72;2071;Пражская улица, дом 25;ГБОУ СОШ №230
№ 72;2072;Пражская улица, дом 25;ГБОУ СОШ №230
№ 72;2073;улица Турку, дом 16;Школа-интернат №37
№ 72;2074;улица Турку, дом 16;Школа-интернат №37
№ 72;2075;улица Турку, дом 29, корпус 2;ГБОУ СОШ №303 (1-я пл.)
№ 72;2076;улица Турку, дом 29, корпус 2;ГБОУ СОШ №303 (1-я пл.)
№ 72;2077;улица Турку, дом 21, корпус 2;ГБОУ СОШ №201
№ 72;2078;улица Турку, дом 21, корпус 2;ГБОУ СОШ №201
№ 72;2079;проспект Славы, дом 40, корпус 5;ГБОУ гимназия №295 (1-я пл.)
№ 72;2080;проспект Славы, дом 40, корпус 5;ГБОУ гимназия №295 (1-я пл.)
№ 75;2134;Малая Бухарестская улица, дом 5, корпус 1;ГОУ СОШ №8
№ 75;2135;Малая Бухарестская улица, дом 5, корпус 1;ГОУ СОШ №8
№ 75;2136;Малая Бухарестская улица, дом 5, корпус 1;ГОУ СОШ №8
№ 75;2137;Малая Бухарестская улица, дом 5, корпус 1;ГОУ СОШ №8
№ 75;2138;Малая Бухарестская улица, дом 7, корпус 1;ГОУ СОШ №448
№ 75;2139;Малая Бухарестская улица, дом 7, корпус 1;ГОУ СОШ №448
№ 75;2140;улица Ярослава Гашека, дом 28, литера А;ГОУ СОШ №368
№ 75;2141;улица Ярослава Гашека, дом 28, литера А;ГОУ СОШ №368
№ 75;2142;улица Ярослава Гашека, дом 28, литера А;ГОУ СОШ №368
№ 75;2143;улица Олеко Дундича, дом 38, корпус 3;ГОУ СОШ №322
№ 75;2144;улица Олеко Дундича, дом 38, корпус 3;ГОУ СОШ №322
№ 75;2145;улица Олеко Дундича, дом 38, корпус 3;ГОУ СОШ №322
№ 75;2146;улица Олеко Дундича, дом 37, корпус 2;ГОУ СОШ №441
№ 75;2147;улица Олеко Дундича, дом 37, корпус 2;ГОУ СОШ №441
№ 75;2148;Малая Балканская улица, дом 60, корпус 3;ГОУ СОШ №603
№ 75;2149;Малая Балканская улица, дом 60, корпус 3;ГОУ СОШ №603
№ 75;2176; Малая Бухарестская улица, дом 7, корпус 1; ГОУ СОШ №448
№ 75;2177;улица Димитрова, дом 39, корпус 4;ГБОУ СОШ №492
№ 78;2202;Большая Морская улица, дом 18;Санкт-Петербургский государственный университет промышленных технологий и дизайна
№ 78;2203;набережная канала Грибоедова, дом 34;"ФГБОУ ВО ""Санкт-Петербургский государственный экономический университет"""
№ 78;2204;Невский проспект, дом 39;"ГБНОУ СПб ""ГДТЮ"""
№ 78;2205;Торговый переулок, дом 2 А;ГБОУ СОШ №550
Адмиралтейский округ;23;набережная канала Грибоедова, дом 123;"ФГАОУВО ""Национальный исследовательский университет ""Высшая школа экономики"""
Адмиралтейский округ;24;набережная канала Грибоедова, дом 88-90;"СПб ГБУК ""Петербург-Концерт"""
Адмиралтейский округ;25;улица Средняя Подьяческая, дом 1;"Межрегиональная общественная организация ""Общество ""Знание"" Санкт-Петербурга и Ленинградской области"
Адмиралтейский округ;26;улица Большая Морская, дом 61;"УФПС Санкт-Петербурга и Ленинградской области - филиал ФГУП ""Почта России"""
Адмиралтейский округ;27; Фонарный переулок, дом 4 литера А;ГБОУ СОШ №255
Адмиралтейский округ;28; Фонарный переулок, дом 4 литера А;ГБОУ СОШ №255
Адмиралтейский округ;29;улица Большая Морская, дом 33;"СПб ГБУК ""Центральная городская детская библиотека им. А.С. Пушкина"
Адмиралтейский округ;30;набережная Адмиралтейского канала, дом 11-13;ГБОУ СОШ №238
Адмиралтейский округ;31;Адмиралтейская набережная, дом 4;ГБОУ СОШ №225
Адмиралтейский округ;32;улица Якубовича, дом 26;"ФГАОУ ВО ""Санкт-Петербургский государственный университет аэрокосмического приборостроения"", приемная комиссия"
Академическое;414;проспект Непокоренных, дом 12, корпус 2, литера А;ГБОУ СОШ №514
Академическое;415;проспект Науки, дом 13, корпус 4;ГБОУ СОШ №145
Академическое;416;проспект Науки, дом 13, корпус 4;ГБОУ СОШ №145
Академическое;417;проспект Науки, дом 13, корпус 4;ГБОУ СОШ №145
Академическое;418;улица Вавиловых, дом 8, корпус 2;ГБОУ СОШ №137
Академическое;419;улица Академика Константинова, дом 10, корпус 2;ГБОУ Гимназия №148 имени Сервантеса
Академическое;420;улица Академика Константинова, дом 10, корпус 2;ГБОУ Гимназия №148 имени Сервантеса
Академическое;421;проспект Науки, дом 13, корпус 4;ГБОУ СОШ №145
Академическое;422;Светлановский проспект, дом 38, корпус 2;ГБОУ лицей №150
Академическое;423;Светлановский проспект, дом 38, корпус 2;ГБОУ лицей №150
Академическое;424;Светлановский проспект, дом 40, корпус 3;ГБОУ СОШ №158
Академическое;425;Светлановский проспект, дом 40, корпус 3;ГБОУ СОШ №158
Академическое;426;Светлановский проспект, дом 40, корпус 3;ГБОУ СОШ №158
Академическое;427;Светлановский проспект, дом 38, корпус 2;ГБОУ лицей №150
Академическое;428;улица Академика Константинова, дом 10, корпус 2;ГБОУ Гимназия №148 имени Сервантеса
Академическое;429;улица Вавиловых, дом 8, корпус 2;ГБОУ СОШ №137
Академическое;430;улица Вавиловых, дом 5, корпус 5;ГБОУ СОШ №71
Академическое;431;улица Вавиловых, дом 5, корпус 5;ГБОУ СОШ №71
Академическое;432;улица Вавиловых, дом 5, корпус 5;ГБОУ СОШ №71
Академическое;433;улица Вавиловых, дом 13, корпус 3;" ГБУ ДО ЦВР ДМ ""Академический"""
Академическое;434;Гражданский проспект, дом 92, корпус 3;ГБОУ СОШ №98
Академическое;435;улица Вавиловых, дом 13, корпус 3;"ГБУ ДО ЦВР ДМ ""Академический"""
Академическое;436;Гражданский проспект, дом 92, корпус 3;ГБОУ СОШ №98
Академическое;437;Гражданский проспект, дом 92, корпус 3;ГБОУ СОШ №98
Академическое;438;улица Софьи Ковалевской, дом 8, корпус 3;ГБОУ СОШ №78
Академическое;439;улица Софьи Ковалевской, дом 16, корпус 6;ГБОУ СОШ №98
Академическое;440;улица Софьи Ковалевской, дом 16, корпус 6;ГБОУ СОШ №98
Академическое;441;проспект Науки, дом 16, корпус 2;ГБОУ СОШ №121
Академическое;442;проспект Науки, дом 16, корпус 2;ГБОУ СОШ №121
Академическое;443;улица Софьи Ковалевской, дом 8, корпус 3;ГБОУ СОШ №78
Академическое;509;Тихорецкий проспект, дом 9, корпус 6;ГБДОУ Детский сад №21
Аптекарский остров;1635;Каменноостровский проспект, дом 36/73;ДЮСШ
Аптекарский остров;1636;улица Литераторов, дом 9-11;ГОУ СОШ №70
Аптекарский остров;1637;улица Профессора Попова, дом 25;гимназия №67
Аптекарский остров;1638;Каменноостровский проспект, дом 69/71;НИИ экспериментальной медицины
Аптекарский остров;1639;Чкаловский проспект, дом 35;гимназия №56
Аптекарский остров;1640;Малый проспект П.С., дом 89;ДК имени Ленсовета
Аптекарский остров;1641;улица Плуталова, дом 24;ГОУ СОШ №47
Аптекарский остров;1642;Каменноостровский проспект, дом 42 Б;гимназия №56
Аптекарский остров;1643;улица Подковырова, дом 28;ГОУ СОШ №80
Балканский;2150;Дунайский проспект, дом 43, корпус 2;ГОУ СОШ №367
Балканский;2151;Дунайский проспект, дом 43, корпус 2;ГОУ СОШ №367
Балканский;2152;улица Ярослава Гашека, дом 10, корпус 2;ГОУ СОШ №301
Балканский;2153;улица Ярослава Гашека, дом 10, корпус 2;ГОУ СОШ №301
Балканский;2154;улица Ярослава Гашека, дом 10, корпус 2;ГОУ СОШ №301
Балканский;2155;улица Ярослава Гашека, дом 4, корпус 4;ГОУ СОШ №553
Балканский;2156;улица Олеко Дундича, дом 26, корпус 2;ГОУ СОШ №218
Балканский;2157;улица Олеко Дундича, дом 26, корпус 2;ГОУ СОШ №218
Балканский;2158;улица Олеко Дундича, дом 26, корпус 2;ГОУ СОШ №218
Балканский;2159; Будапештская улица, дом 93;ГОУ СОШ №365
Балканский;2160; Будапештская улица, дом 93;ГОУ СОШ №365
Балканский;2161; Будапештская улица, дом 93;ГОУ СОШ №365
Балканский;2162;улица Олеко Дундича, дом 25, корпус 3;ГОУ СОШ №313
Балканский;2163;улица Олеко Дундича, дом 25, корпус 3;ГОУ СОШ №313
Балканский;2164;улица Олеко Дундича, дом 25, корпус 3;ГОУ СОШ №313
Балканский;2165;Малая Балканская улица, дом 44;ГОУ СОШ №314
Балканский;2166;Малая Балканская улица, дом 44;ГОУ СОШ №314
Балканский;2167;Малая Балканская улица, дом 44;ГОУ СОШ №314
Балканский;2168;улица Ярослава Гашека, дом 4, корпус 4;ГОУ СОШ №553
Балканский;2169;улица Ярослава Гашека, дом 4, корпус 4;ГОУ СОШ №553
Балканский;2170;улица Ярослава Гашека, дом 9, корпус 2;ГОУ СОШ №212
Балканский;2171;улица Ярослава Гашека, дом 9, корпус 2;ГОУ СОШ №212
Балканский;2172;улица Ярослава Гашека, дом 9, корпус 2;ГОУ СОШ №212
Балканский;2173;Малая Балканская улица, дом 36, корпус 3;ГОУ СОШ №312
Балканский;2174;Малая Балканская улица, дом 36, корпус 3;ГОУ СОШ №312
Большая Охта;921;Шепетовская улица, дом 5;здание школы №515
Большая Охта;922;Шепетовская улица, дом 5;здание школы №515
Большая Охта;923; Большеохтинский проспект, дом 11, корпус 2;здание детско-юношеского центра «Красногвардеец»
Большая Охта;924; Большеохтинский проспект, дом 11, корпус 2;здание детско-юношеского центра «Красногвардеец»
Большая Охта;925;Большеохтинский проспект, дом 18;здание школы №140
Большая Охта;926;Большеохтинский проспект, дом 18;здание школы №140
Большая Охта;927;Большая Пороховская улица, дом 8;здание школы №129
Большая Охта;928;Большая Пороховская улица, дом 8;здание школы №129
Большая Охта;929;Панфилова улица, дом 23;"здание центра детского и юношеского творчества ""Охта"""
Большая Охта;930;Панфилова улица, дом 23;"здание центра детского и юношеского творчества ""Охта"""
Большая Охта;931;Синявинская улица, дом 15;здание школы №143
Большая Охта;932;Синявинская улица, дом 15;здание школы №143
Большая Охта;933;Металлистов проспект, дом 23;здание школы №160
Большая Охта;934;Металлистов проспект, дом 23;здание школы №160
Большая Охта;935;Большая Пороховская улица, дом 38;здание школы №532
Большая Охта;936;Большая Пороховская улица, дом 38;здание школы №532
Большая Охта;937;шоссе Революции, дом 35, корпус 5,;здание школы №160
Большая Охта;938;шоссе Революции, дом 35, корпус 5,;здание школы №160
Большая Охта;939;Петра Смородина улица, дом 10;здание школы №133
Большая Охта;939;Петра Смородина улица, дом 10;здание школы №133
Большая Охта;940;Петра Смородина улица, дом 10;здание школы №133
Большая Охта;958;Энергетиков проспект, дом 9, корпус 5;здание школы №491
Васильевский;121;Средний проспект В.О., дом 20;ГБОУ гимназия №24
Васильевский;119;2-я линия В.О., дом 43, литера В;ГБОУ гимназия №32
Васильевский;120;2-я линия В.О., дом 43, литера В;ГБОУ гимназия №32
Васильевский;122;7-я линия В.О., дом 66;ГБОУ школа №755
Васильевский;123;Средний проспект В.О., дом 31/52;Лицей №30
Васильевский;124;Средний проспект В.О., дом 31/52;Лицей №30
Васильевский;125;Малый проспект В.О., дом 34;ГБОУ СОШ №29
Васильевский;126;Малый проспект В.О., дом 34;ГБОУ СОШ №29
Васильевский;127;17-я линия В.О., дом 34;ГБОУ гимназия №11
Васильевский;128;16-я линия В.О., дом 55;ГБОУ гимназия №11
Васильевский;129;Малый проспект В.О., дом 34;ГБОУ СОШ №29
Васильевский;130;Малый проспект В.О., дом 34;ГБОУ СОШ №29
Васильевский;131;улица Нахимова, дом 8, корпус 3;Библиотека имени М.В.Ломоносова
Введенский;1612;улица Блохина, дом 31;ГОУ СОШ №77
Введенский;1613;улица Зверинская, дом 35-37;гимназия №610
Введенский;1614;улица Съезжинская, дом 26-28;"Частный детский сад ""Эдельвейс"""
Введенский;1615;улица Блохина, дом 31;ГОУ СОШ №77
Введенский;1616;улица Съезжинская, дом 15/17;Финансовый университет при Правительстве РФ
Введенский;1617;улица Зверинская, дом 35-37;гимназия №610
Введенский;1618;улица Большая Пушкарская, дом 14 Б;Академия танца Бориса Эйфмана
Введенский;1619;улица Введенская, дом 16;ГОУ СОШ №87
Владимирский;2206;Графский переулок, дом 1;ГБОУ СОШ №122
Владимирский;2207;Графский переулок, дом 1;ГБОУ СОШ №122
Владимирский;2208;Графский переулок, дом 8;ГБОУ СОШ №216
Владимирский;2209;Большая Московская улица, дом 10;ГБОУ школа №300
Владимирский;2210;Большая Московская улица, дом 10;ГБОУ школа №300
Владимирский;2211;набережная реки Фонтанки, дом 62;ГБОУ СОШ №206
Владимирский;2212;набережная реки Фонтанки, дом 62;ГБОУ СОШ №206
Владимирский;2213;улица Ломоносова, дом 9;ФГАОУ ВО НИЦ ИТМО
Владимирский;2214;переулок Джамбула, дом 3;"СПбГБУ ""Центр реабилитации инвалидов по зрению"""
Владимирский;2215;Социалистическая улица, дом 7/11;ГБОУ школа №321
Владимирский;2216;Пушкинская улица, дом 9;"СПб ОО ОКЦ ""На Пушкинской"""
Владимирский;2217;Кузнечный переулок, дом 20;"ФГБОУ ВО ""ПГУПС"" Санкт-Петербургский медицинский колледж"
Владимирский;2218;улица Марата, дом 27;"ФГБОУ ВО ""Санкт-Петербургский государственный экономический университет"""
Владимирский;2219;Коломенская улица, дом 6;ГБОУ школа №294
Владимирский;2220;Коломенская улица, дом 6;ГБОУ школа №294
Владимирский;2221;улица Правды, дом 8;ГБУ ДО Центр внешкольной работы
Владимирский;2222;улица Константина Заслонова, дом 23;"ГБУ ДО ДДТ ""Фонтанка-32"""
Владимирский;2223;Звенигородская улица, дом 30 А;ГБОУ школа №612
Владимирский;2224;улица Константина Заслонова, дом 6;ГБОУ СОШ №309
Владимирский;2225;улица Константина Заслонова, дом 6;ГБОУ СОШ №309
Волковское;2035;Лиговский проспект, дом 156;ГБОУ СОШ №153
Волковское;2036;Расстанная улица, дом 20, литера А;ГБОУ СОШ №359
Волковское;2037;Расстанная улица, дом 20, литера А;ГБОУ СОШ №359
Волковское;2038;Воронежская улица, дом 79;"ФГБОУ ВПО ""Российский государственный гидрометеорологический университет"""
Волковское;2039;Воронежская улица, дом 79;"ФГБОУ ВПО ""Российский государственный гидрометеорологический университет"""
Волковское;2040;Волковский проспект, дом 4, литера А;"СПб ГБОУ НПО ""Профессиональный реабилитационный центр"""
Волковское;2041;Волковский проспект, дом 106;"СПб ГБПОУ СПО ""Медицинский техникум №2"""
Волковское;2042;Бухарестская улица, дом 5;ГБОУ СОШ №360
Волковское;2043;Бухарестская улица, дом 5;ГБОУ СОШ №360
Волковское;2044;Пражская улица, дом 7, корпус 4; ГБОУ СОШ №236
Волковское;2045;Пражская улица, дом 7, корпус 4; ГБОУ СОШ №236
Волковское;2046;Пражская улица, дом 7, корпус 4; ГБОУ СОШ №236
Волковское;2047;Пражская улица, дом 7, корпус 4; ГБОУ СОШ №236
Волковское;2048;Пражская улица, дом 7, корпус 4; ГБОУ СОШ №236
Волковское;2049;улица Белы Куна, дом 24, корпус 2;ГБОУ СОШ №215
Волковское;2050;улица Белы Куна, дом 24, корпус 2;ГБОУ СОШ №215
Волковское;2051;Будапештская улица, дом 8, корпус 3;ГБОУ СОШ №305
Волковское;2052;Будапештская улица, дом 8, корпус 3;ГБОУ СОШ №305
Волковское;2053;Будапештская улица, дом 8, корпус 3;ГБОУ СОШ №305
Волковское;2054;Будапештская улица, дом 8, корпус 3;ГБОУ СОШ №305
Гавань;132;улица Канареечная, дом 11;ГБОУ начальная школа №36
Гавань;133;улица Гаванская, дом 3;Юридический институт
Гавань;134;улица Шевченко, дом 3, литера А;ГБОУ СОШ №6
Гавань;135;улица Опочинина, дом 10;ГБОУ СОШ №4 имени Жака-Иво-Кусто
Гавань;136;улица Опочинина, дом 10;ГБОУ СОШ №4 имени Жака-Иво-Кусто
Гавань;137;улица Опочинина, дом 35;ГБОУ гимназия №642
Гавань;138;Шкиперский проток, дом 5;Общежитие Горного университета
Гавань;139;улица Остоумова, дом 19 В;"ДЮТЦ ""Васильеский остров"""
Гавань;140;улица Остоумова, дом 19 В;"ДЮТЦ ""Васильеский остров"""
Гавань;141;улица Шевченко, дом 36, литера А;ГБОУ СОШ №15
Гавань;142;улица Шевченко, дом 36, литера А;ГБОУ СОШ №15
Гавань;143;улица Гаванская, дом 54;ГБОУ СОШ №19
Гавань;144;улица Гаванская, дом 54;ГБОУ СОШ №19
Гавань;180;Малый проспект В.О., дом 66;СДЮШОР Василеостровского района
Гавань;181;улица Наличная, дом 28/16;Общежитие Горного университета
Гагаринское;1300;Юрия Гагарина проспект, дом 16, корпус 3;гимназия №524
Гагаринское;1301;Юрия Гагарина проспект, дом 22, корпус 3;гимназия №524
Гагаринское;1302;Юрия Гагарина проспект, дом 22, корпус 3;гимназия №524
Гагаринское;1303;Юрия Гагарина проспект, дом 22, корпус 3;гимназия №524
Гагаринское;1304;Космонавтов проспект, дом 21, корпус 4;школа №525
Гагаринское;1305;Космонавтов проспект, дом 21, корпус 4;школа №525
Гагаринское;1306;Космонавтов проспект, дом 21, корпус 4;школа №525
Гагаринское;1307;Космонавтов проспект, дом 20, корпус 4;школа №536
Гагаринское;1308;Космонавтов проспект, дом 20, корпус 4;школа №536
Гагаринское;1309;Космонавтов проспект, дом 28, корпус 4;школа №543
Гагаринское;1310;Космонавтов проспект, дом 28, корпус 4;школа №543
Гагаринское;1311;Космонавтов проспект, дом 28, корпус 4;школа №543
Гагаринское;1312;Типанова улица, дом 29;библиотека №1
Гагаринское;1313;Витебский проспект, дом 49, корпус 2;школа №663
Гагаринское;1314;Витебский проспект, дом 49, корпус 2;школа №663
Гагаринское;1315;Витебский проспект, дом 49, корпус 2;школа №663
Гагаринское;1316;Витебский проспект, дом 57, литера А;школа №351
